LegacyName,OVR,Year,Clan,Leader,Class Player,Cheater,Source,RCL
s2n_phino,87,2025,SOL,,,,Sol Cup 2025,
pastlight,87,2026,,,,,Matcha tier list,
Vyprahul,87,2026,,,,,Matcha tier list,
Tenshi,87,2026,,,,,Matcha tier list,
butchrr,87,2020,HDRZ,,,,2020 CCL stats,
Xeqto,87,2020,44th,,,,2020 tier list,
dualy2,87,2023,SOL,,,,2023 tier list,
realotsxi,87,2020,,,,,2020 CCL stats,
overlayed,87,2020,,,,,2020 CCL stats,
Gageeees,87,2020,,,,,2020 CCL stats,
Sidees,87,2020,,,,,2020 CCL stats,
vilesynth,87,2024,SOL,,,,SOL Summer 2024,
Apocryphae,88,2024,SOL,,,,Raid stats,
jexesh,87,2024,SOL,,,,SOL Summer 2024,
Jesxaiah,87,2024,SOL,,,,SOL Summer 2024,
NEWLIAM1,87,2024,SOL,,,,SOL Summer 2024,
Shinsire,87,2026,VAK,,,,VCL 2026,
evolclap,87,2026,VAK,,,,VCL 2026,
tempo1nee,86,2023,,,,,Personal,
Bevoc,86,2022,VAK,,,,2022 Summer Games draft,
actuallyJT,86,2022,VAK,,,,2022 Summer Games draft,
fireschoolbus1,86,2022,VAK,,,,2022 Summer Games draft,
Moist_God,86,2020,,,,,all-time impact top 100,
DeadIyXI,86,2021,,,,,2021 gun-clanner list,
Hav00k,86,2021,,,,,2021 gun-clanner list,
Spellcore,86,2021,,,,,all-time impact top 100,
exirly,86,2026,,,,,Matcha tier list,
Iostvoicee,86,2026,,,,,Matcha tier list,
GFRafael,86,2023,RoA,,,,Personal,
vurnextdoor,86,2023,SOL,,,,Sol Cup 2023,
outclaim,86,2023,SOL,,,,Sol Cup 2023,
youngcion,86,2023,SOL,Experienced,,,Sol Cup 2023,
VintagAlc,86,2025,SOL,,,,Sol Cup 2025,
Acceptlyy,86,2025,SOL,,,,Sol Cup 2025,
bulet,86,2025,SOL,,,,Sol Cup 2025,
BlueSweatShirt,86,2025,SOL,,,,Sol Cup 2025,
bombpacts,86,2026,VAK,,,,Matcha tier list,
masqrader,86,2026,VAK,,,,Matcha tier list,
dibbix,86,2020,VAL,,,,2020 tier list,
ImperfectJayboss,86,2023,SOL,,,,2023 tier list,
magnetpilot147,86,2026,RoA,,,,Matcha tier list,
moooshiimoooshii,86,2026,SURGE,,,,Personal,
PatrickAIt,86,2024,RoA,,,,Personal,
bombpact,86,2020,,,,,2020 CCL stats,
crxucify,86,2024,SOL,,,,SOL Summer 2024,
Vyprahul,87,2024,SOL,,,,Raid stats,
pyxroo,86,2024,SOL,,,,SOL Summer 2024,
whouki,86,2024,SOL,,,,SOL Summer 2024,
mortflare,86,2024,SOL,,,,SOL Summer 2024,
highlyy,86,2026,VAK,,,,VCL 2026,
crapily,86,2026,VAK,,,,VCL 2026,
nqthcn,86,2026,VAK,,,,VCL 2026,
imaginestad,85,2022,VAK,,,,2022 Summer Games draft,
XBSIGHTS,85,2020,VAK,Elite,,,2020 tier list,
taki0ps,85,2020,,,,,all-time impact top 100,
lightvskii,85,2021,,,,,2021 gun-clanner list,
SCALESREVENGE,85,2021,,,,,2021 gun-clanner list,
Und,85,2021,,,,,2021 gun-clanner list,
crash6474,85,2026,VAK,,,,Matcha tier list,
darkbIaze,85,2026,,,,,Matcha tier list,
khritus,90,2026,,,,,Matcha tier list,
pIatinum_xe,85,2026,,,,,Matcha tier list,
Oxledus,85,2023,,,,,,
Sidees,85,2018,,,,,all-time impact top 100,TRUE
realotsxi,85,2021,,,,TRUE,,
ninjiesz,85,2018,,,,TRUE,,
sancted,85,2021,,,,TRUE,,
asunaspace,85,2021,,,,,2021 CCL draft,
Out_Gunner,85,2021,,,,,2021 CCL draft,
LimitingFactors,85,2021,,,,,Personal,
vastrano30,85,2023,SOL,,,,Sol Cup 2023,
renshire,85,2023,SOL,,,,Sol Cup 2023,
desvayne,85,2023,SOL,,,,Sol Cup 2023,
lastnote,85,2023,SOL,,,,Sol Cup 2023,
outclaim,85,2025,SOL,,,,Sol Cup 2025,
obeyence,85,2025,SOL,,,,Sol Cup 2025,
wrystt,85,2025,SOL,,,,Sol Cup 2025,
p_ams,85,2025,SOL,,,,Sol Cup 2025,
Ran502,85,2020,ARCON,,,,2020 CCL stats,
Spellcore,85,2020,WIJ,,,,2020 tier list,
Spellcore,85,2023,OP,,,,2023 tier list,
Swaagness,85,2023,Snow Core,,,,2023 tier list,
chaeworthh,85,2023,,Elite,,,,
obeyence,85,2022,VAK,,,,Personal,
Kryex,85,2021,,,,,all-time impact top 100,
notceps,85,2020,,,,,2020 CCL stats,
PiIoteer,85,,,,,,Personal,
Dahblueman,85,2024,SOL,,,,SOL Summer 2024,
omwghostly,85,2024,SOL,,,,SOL Summer 2024,
GFRafael,85,2024,SOL,,,,SOL Summer 2024,
Flamedxx,85,2024,SOL,,,,SOL Summer 2024,
underive,85,2024,SOL,,,,SOL Summer 2024,
XBSIGHTS,85,2024,SOL,Elite,,,SOL Summer 2024,
BawkiAlt,85,2024,SOL,,,,SOL Summer 2024,
kreayshawn10,85,2024,SOL,,,,SOL Summer 2024,
xSiege,85,2024,SOL,,,,SOL Summer 2024,
Myronoso,85,2024,SOL,,,,SOL Summer 2024,
pdualy,85,2024,SOL,,,,SOL Summer 2024,
C9_Diamond,85,2024,SOL,,,,SOL Summer 2024,
sketchysnake422,85,2024,SOL,,,,SOL Summer 2024,
cakeosityz,85,2024,SOL,,,,SOL Summer 2024,
cheatxtc,85,2026,VAK,,,,VCL 2026,
stintsu,85,2026,VAK,,,,VCL 2026,
evanvictorjames,85,2026,VAK,,,,VCL 2026,
theslayerofdoom,85,2026,VAK,,,,VCL 2026,
m8rions,85,2026,,,,TRUE,Personal,
